cik,entityName,val,accn,end,fy,fp,form,filed,frame,year,tag
6951,APPLIED MATERIALS INC /DE,844139722.0,0000006951-22-000043,2022-12-09,,,,,,2022,EntityCommonStockSharesOutstanding
6951,APPLIED MATERIALS INC /DE,831067105.0,0000006951-23-000041,2023-12-08,,,,,,2023,EntityCommonStockSharesOutstanding
6951,APPLIED MATERIALS INC /DE,813684638.0,0000006951-24-000044,2024-12-06,,,,,,2024,EntityCommonStockSharesOutstanding
6951,APPLIED MATERIALS INC /DE,793609867.0,0001628280-26-009694,2026-01-25,,,,,,2025,EntityCommonStockSharesOutstanding
6951,APPLIED MATERIALS INC /DE,793597443.0,0001628280-26-058235,2026-07-26,,,,,,2026,EntityCommonStockSharesOutstanding
7084,ARCHER-DANIELS-MIDLAND CO,593898294.0,0000007084-16-000046,2016-01-29,,,,,,2015,EntityCommonStockSharesOutstanding
7084,ARCHER-DANIELS-MIDLAND CO,571080171.0,0000007084-17-000008,2017-02-10,,,,,,2016,EntityCommonStockSharesOutstanding
7084,ARCHER-DANIELS-MIDLAND CO,560088795.0,0000007084-19-000012,2019-02-14,,,,,,2018,EntityCommonStockSharesOutstanding
7084,ARCHER-DANIELS-MIDLAND CO,557887494.0,0000007084-20-000009,2020-02-14,,,,,,2019,EntityCommonStockSharesOutstanding
7084,ARCHER-DANIELS-MIDLAND CO,548008680.0,0000007084-23-000010,2023-02-13,,,,,,2022,EntityCommonStockSharesOutstanding
7084,ARCHER-DANIELS-MIDLAND CO,479707071.0,0000007084-25-000011,2025-02-14,,,,,,2024,EntityCommonStockSharesOutstanding
7084,ARCHER-DANIELS-MIDLAND CO,481201844.0,0000007084-26-000011,2026-02-10,,,,,,2025,EntityCommonStockSharesOutstanding
7084,ARCHER-DANIELS-MIDLAND CO,481959583.0,0000007084-26-000042,2026-07-30,,,,,,2026,EntityCommonStockSharesOutstanding
8670,"Automatic     Data Processing, Inc.",457451131.0,0000008670-16-000030,2016-01-31,,,,,,2015,EntityCommonStockSharesOutstanding
8670,"Automatic     Data Processing, Inc.",448902582.0,0000008670-17-000003,2017-01-27,,,,,,2016,EntityCommonStockSharesOutstanding
8670,"Automatic     Data Processing, Inc.",443269657.0,0000008670-18-000003,2018-01-26,,,,,,2017,EntityCommonStockSharesOutstanding
8670,"Automatic     Data Processing, Inc.",435629656.0,0000008670-19-000005,2019-01-25,,,,,,2018,EntityCommonStockSharesOutstanding
8670,"Automatic     Data Processing, Inc.",431754252.0,0000008670-20-000007,2020-01-28,,,,,,2019,EntityCommonStockSharesOutstanding
8670,"Automatic     Data Processing, Inc.",427940220.0,0000008670-21-000007,2021-01-27,,,,,,2020,EntityCommonStockSharesOutstanding
8670,"AUTOMATIC DATA PROCESSING, INC.",420045265.0,0000008670-22-000014,2022-01-26,,,,,,2021,EntityCommonStockSharesOutstanding
8670,"AUTOMATIC DATA PROCESSING, INC.",414351542.0,0000008670-23-000008,2023-01-31,,,,,,2022,EntityCommonStockSharesOutstanding
8670,"AUTOMATIC DATA PROCESSING, INC.",410790567.0,0000008670-24-000007,2024-01-29,,,,,,2023,EntityCommonStockSharesOutstanding
8670,"AUTOMATIC DATA PROCESSING, INC.",406870893.0,0000008670-25-000007,2025-01-27,,,,,,2024,EntityCommonStockSharesOutstanding
8670,"AUTOMATIC DATA PROCESSING, INC.",402644364.0,0000008670-26-000011,2026-01-26,,,,,,2025,EntityCommonStockSharesOutstanding
8670,"AUTOMATIC DATA PROCESSING, INC.",397262737.0,0000008670-26-000030,2026-07-31,,,,,,2026,EntityCommonStockSharesOutstanding
8818,AVERY DENNISON CORPORATION,89430815.0,0001047469-16-010376,2016-01-30,,,,,,2015,EntityCommonStockSharesOutstanding
8818,AVERY DENNISON CORPORATION,88123603.0,0001047469-17-000881,2017-01-28,,,,,,2016,EntityCommonStockSharesOutstanding
8818,AVERY DENNISON CORPORATION,87927816.0,0001047469-18-000931,2018-01-27,,,,,,2017,EntityCommonStockSharesOutstanding
8818,AVERY DENNISON CORPORATION,83044019.0,0001193125-21-055146,2021-01-30,,,,,,2020,EntityCommonStockSharesOutstanding
