ticker,date,ratio
CHD,1999-09-02 09:30:00,2.0
CHD,2004-09-02 09:30:00,1.5
CHD,2011-06-02 09:30:00,2.0
CHD,2016-09-02 09:30:00,2.0
CHRW,2000-12-04 09:30:00,2.0
CHRW,2005-10-17 09:30:00,2.0
CI,1998-05-18 09:30:00,3.0
CI,2007-06-05 09:30:00,3.0
CIEN,2000-09-19 09:30:00,2.0
CIEN,2006-09-25 09:30:00,0.14285714285714285
CINF,1985-05-01 09:30:00,2.0
CINF,1992-05-18 09:30:00,3.0
CINF,1995-03-13 09:30:00,1.05
CINF,1996-03-13 09:30:00,1.05
CINF,1998-05-18 09:30:00,3.0
CINF,2004-04-28 09:30:00,1.05
CINF,2005-04-04 09:30:00,1.05
CL,1973-05-30 09:30:00,3.0
CL,1991-05-16 09:30:00,2.0
CL,1997-05-16 09:30:00,2.0
CL,1999-07-01 09:30:00,2.0
CL,2013-05-16 09:30:00,2.0
CLX,1987-06-02 09:30:00,2.0
CLX,1997-09-03 09:30:00,2.0
CLX,1999-08-24 09:30:00,2.0
CMCSA,1980-05-16 09:30:00,1.5
CMCSA,1981-04-13 09:30:00,1.5
CMCSA,1983-01-06 09:30:00,1.5
CMCSA,1984-09-19 09:30:00,1.5
CMCSA,1985-06-28 09:30:00,1.5
CMCSA,1986-12-19 09:30:00,1.5
CMCSA,1988-04-11 09:30:00,1.5
CMCSA,1989-10-25 09:30:00,1.5
CMCSA,1994-02-03 09:30:00,1.5
CMCSA,1999-05-06 09:30:00,2.0
CMCSA,2007-02-22 09:30:00,1.5
CMCSA,2017-02-21 09:30:00,2.0
CMCSA,2026-01-05 09:30:00,1.067
CME,2012-07-23 09:30:00,5.0
CMG,2024-06-26 09:30:00,50.0
CMI,1993-11-12 09:30:00,2.0
CMI,2007-04-10 09:30:00,2.0
CMI,2008-01-03 09:30:00,2.0
CNC,2003-07-14 09:30:00,1.5
CNC,2004-12-20 09:30:00,2.0
CNC,2015-02-20 09:30:00,2.0
CNC,2019-02-07 09:30:00,2.0
CNP,1963-05-20 09:30:00,3.0
CNP,1981-06-15 09:30:00,1.5
CNP,1995-12-11 09:30:00,2.0
CNP,2002-10-01 09:30:00,1.1862396204033214
COF,1999-06-02 09:30:00,3.0
COHR,1995-09-08 09:30:00,2.0
COHR,2000-09-21 09:30:00,2.0
COHR,2005-03-23 09:30:00,2.0
COHR,2011-06-27 09:30:00,2.0
COO,1995-09-22 09:30:00,0.3333333333333333
COO,2002-11-25 09:30:00,2.0
COO,2024-02-20 09:30:00,4.0
COP,1985-07-05 09:30:00,3.0
COP,2005-06-02 09:30:00,2.0
COP,2012-05-01 09:30:00,1.311791
COR,1999-03-25 09:30:00,2.0
COR,2005-12-29 09:30:00,2.0
COR,2009-06-16 09:30:00,2.0
COST,1993-10-22 09:30:00,2.0
COST,2000-01-14 09:30:00,2.0
CPRT,1999-01-29 09:30:00,2.0
CPRT,2000-01-25 09:30:00,2.0
CPRT,2002-01-22 09:30:00,1.5
CPRT,2012-03-29 09:30:00,2.0
CPRT,2017-04-11 09:30:00,2.0
CPRT,2022-11-04 09:30:00,2.0
CPRT,2023-08-22 09:30:00,2.0
CRH,1998-08-24 09:30:00,5.0
CRM,2013-04-18 09:30:00,4.0
CRWD,2026-07-02 09:30:00,4.0
CSCO,1991-03-18 09:30:00,2.0
CSCO,1992-03-23 09:30:00,2.0
CSCO,1993-03-22 09:30:00,2.0
CSCO,1994-03-21 09:30:00,2.0
CSCO,1996-02-20 09:30:00,2.0
CSCO,1997-12-17 09:30:00,1.5
CSCO,1998-09-16 09:30:00,1.5
CSCO,1999-06-22 09:30:00,2.0
CSCO,2000-03-23 09:30:00,2.0
CSGP,2021-06-28 09:30:00,10.0
CSX,1983-10-26 09:30:00,3.0
CSX,1995-12-22 09:30:00,2.0
CSX,2006-08-16 09:30:00,2.0
CSX,2011-06-16 09:30:00,3.0
CSX,2021-06-29 09:30:00,3.0
CTAS,1987-04-03 09:30:00,2.0
CTAS,1991-04-03 09:30:00,1.5
CTAS,1992-04-03 09:30:00,2.0
CTAS,1997-11-19 09:30:00,2.0
CTAS,2000-03-08 09:30:00,1.5
CTAS,2024-09-12 09:30:00,4.0
CTSH,2000-03-17 09:30:00,2.0
CTSH,2003-04-02 09:30:00,3.0
CTSH,2004-06-18 09:30:00,2.0
CTSH,2007-10-17 09:30:00,2.0
CTSH,2014-03-10 09:30:00,2.0
CVNA,2026-05-08 09:30:00,5.0
CVS,1983-05-03 09:30:00,2.0
CVS,1989-03-15 09:30:00,2.0
CVS,1998-06-16 09:30:00,2.0
CVS,2005-06-07 09:30:00,2.0
CVX,1962-12-17 09:30:00,1.05
CVX,1973-12-11 09:30:00,2.0
CVX,1981-03-11 09:30:00,2.0
CVX,1994-06-13 09:30:00,2.0
CVX,2004-09-13 09:30:00,2.0
D,1992-01-24 09:30:00,1.5
D,2007-11-20 09:30:00,2.0
DD,1973-05-10 09:30:00,2.0
DD,1976-06-08 09:30:00,2.0
DD,1989-11-21 09:30:00,1.5
DD,2000-06-19 09:30:00,3.0
DD,2019-04-02 09:30:00,1.487
DD,2019-06-03 09:30:00,0.4725
DD,2025-11-03 09:30:00,2.39
DD,2026-06-24 09:30:00,0.3333333333333333
DE,1972-09-22 09:30:00,2.0
