broker,period,metric,value,unit,flow_or_stock,firm_label,source_url,source_accession,source_doc_date
"Interactive Brokers Group, Inc.",2025-Q3,Customer Equity,757.5,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119725000143/ibkr-8k_20250930er.htm,0001381197-25-000143,2025-10-16
"Interactive Brokers Group, Inc.",2025-Q3,Customer credits,154.8,USD billions,STOCK,"Customer credits (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119725000143/ibkr-8k_20250930er.htm,0001381197-25-000143,2025-10-16
"Interactive Brokers Group, Inc.",2025-Q3,Customer margin loans,77.3,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119725000143/ibkr-8k_20250930er.htm,0001381197-25-000143,2025-10-16
"Interactive Brokers Group, Inc.",2025-Q4,Customer Equity,779.9,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000119312526016540/ibkr-ex99_1.htm,0001193125-26-016540,2026-01-20
"Interactive Brokers Group, Inc.",2025-Q4,Customer credits,160.1,USD billions,STOCK,"Customer credits (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000119312526016540/ibkr-ex99_1.htm,0001193125-26-016540,2026-01-20
"Interactive Brokers Group, Inc.",2025-Q4,Customer margin loans,90.2,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000119312526016540/ibkr-ex99_1.htm,0001193125-26-016540,2026-01-20
"Interactive Brokers Group, Inc.",2026-Q1,Customer Equity,789.4,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119726000078/ibkr-ex99_1.htm,0001381197-26-000078,2026-04-21
"Interactive Brokers Group, Inc.",2026-Q1,Customer credits,168.8,USD billions,STOCK,"Customer credits (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119726000078/ibkr-ex99_1.htm,0001381197-26-000078,2026-04-21
"Interactive Brokers Group, Inc.",2026-Q1,Customer margin loans,86.0,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119726000078/ibkr-ex99_1.htm,0001381197-26-000078,2026-04-21
"Interactive Brokers Group, Inc.",2026-Q2,Customer Equity,930.3,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119726000118/ibkr-ex99_1.htm,0001381197-26-000118,2026-07-21
"Interactive Brokers Group, Inc.",2026-Q2,Customer credits,182.4,USD billions,STOCK,"Customer credits (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119726000118/ibkr-ex99_1.htm,0001381197-26-000118,2026-07-21
"Interactive Brokers Group, Inc.",2026-Q2,Customer margin loans,108.5,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119726000118/ibkr-ex99_1.htm,0001381197-26-000118,2026-07-21
